model-1577495273,1577495302.927,0.6,0.2271,0.65,0.2311
model-1577495273,1577495303.048,0.61,0.2497,0.66,0.2309
model-1577495273,1577495303.172,0.6,0.2312,0.66,0.2305
model-1577495273,1577495303.295,0.67,0.2024,0.67,0.2304
model-1577495273,1577495303.42,0.61,0.2368,0.7,0.2298
model-1577495273,1577495303.543,0.61,0.2329,0.71,0.2293
model-1577495273,1577495303.672,0.66,0.2098,0.71,0.2283
model-1577495273,1577495303.797,0.66,0.2113,0.65,0.2286
model-1577495273,1577495303.924,0.66,0.2135,0.64,0.2302
model-1577495273,1577495304.051,0.58,0.2509,0.63,0.2289
model-1577495273,1577495304.172,0.68,0.215,0.63,0.2246
model-1577495273,1577495304.309,0.68,0.2239,0.66,0.2269
model-1577495273,1577495304.434,0.66,0.2139,0.64,0.24
model-1577495273,1577495304.559,0.58,0.2367,0.57,0.2485
model-1577495273,1577495304.685,0.46,0.287,0.65,0.2385
model-1577495273,1577495304.809,0.65,0.2195,0.66,0.2311
model-1577495273,1577495304.934,0.78,0.1807,0.66,0.2276
model-1577495273,1577495305.057,0.65,0.2282,0.61,0.2258
model-1577495273,1577495305.191,0.65,0.2123,0.62,0.2261
model-1577495273,1577495305.315,0.63,0.229,0.63,0.2268
model-1577495273,1577495305.439,0.68,0.2155,0.63,0.2286
model-1577495273,1577495305.563,0.65,0.2187,0.63,0.2269
model-1577495273,1577495305.686,0.66,0.2096,0.66,0.2244
model-1577495273,1577495305.809,0.69,0.2003,0.67,0.2244
model-1577495273,1577495305.934,0.65,0.2211,0.63,0.2286
model-1577495273,1577495306.059,0.57,0.2316,0.6,0.2309
model-1577495273,1577495306.185,0.61,0.2269,0.62,0.2281
model-1577495273,1577495306.31,0.62,0.2203,0.67,0.2214
model-1577495273,1577495306.435,0.6,0.2193,0.65,0.2213
model-1577495273,1577495306.561,0.63,0.2162,0.64,0.2244
model-1577495273,1577495306.684,0.68,0.1999,0.64,0.2277
model-1577495273,1577495306.81,0.61,0.221,0.64,0.2224
model-1577495273,1577495306.934,0.62,0.2386,0.65,0.2181
model-1577495273,1577495307.057,0.61,0.232,0.63,0.2235
model-1577495273,1577495307.181,0.64,0.2115,0.59,0.233
model-1577495273,1577495307.306,0.6,0.213,0.57,0.2466
model-1577495273,1577495307.429,0.56,0.2543,0.57,0.2473
model-1577495273,1577495307.553,0.53,0.2482,0.61,0.2345
model-1577495273,1577495307.678,0.59,0.2478,0.63,0.2266
model-1577495273,1577495307.803,0.64,0.218,0.65,0.2232
model-1577495273,1577495307.926,0.65,0.2248,0.61,0.2279
model-1577495273,1577495308.056,0.6,0.2348,0.6,0.2336
model-1577495273,1577495308.182,0.56,0.2432,0.6,0.2333
model-1577495273,1577495308.329,0.6,0.2284,0.59,0.2308
model-1577495273,1577495308.454,0.64,0.223,0.62,0.2304
model-1577495273,1577495308.578,0.63,0.2352,0.58,0.2312
model-1577495273,1577495308.71,0.63,0.2343,0.62,0.2333
model-1577495273,1577495308.836,0.53,0.24,0.62,0.2355
model-1577495273,1577495308.982,0.61,0.222,0.6,0.2372
model-1577495273,1577495309.126,0.54,0.2374,0.59,0.2364
model-1577495273,1577495309.264,0.63,0.2197,0.64,0.2333
model-1577495273,1577495309.396,0.66,0.2214,0.62,0.2309
model-1577495273,1577495309.536,0.67,0.2202,0.62,0.2287
model-1577495273,1577495309.671,0.68,0.2123,0.63,0.2278
model-1577495273,1577495309.798,0.66,0.2104,0.66,0.2275
model-1577495273,1577495309.922,0.63,0.2161,0.66,0.227
model-1577495273,1577495310.046,0.58,0.2445,0.65,0.2268
model-1577495273,1577495310.171,0.52,0.2611,0.66,0.2281
model-1577495273,1577495310.263,0.75,0.1898,0.65,0.2286
model-1577495273,1577495310.391,0.57,0.2324,0.67,0.2251
model-1577495273,1577495310.514,0.62,0.2295,0.67,0.2227
model-1577495273,1577495310.639,0.59,0.2243,0.63,0.2251
model-1577495273,1577495310.774,0.69,0.2139,0.63,0.2285
model-1577495273,1577495310.921,0.59,0.2322,0.64,0.2299
model-1577495273,1577495311.061,0.62,0.2336,0.62,0.2231
model-1577495273,1577495311.195,0.62,0.2274,0.68,0.2162
model-1577495273,1577495311.332,0.61,0.2299,0.67,0.2187
model-1577495273,1577495311.458,0.6,0.22,0.67,0.221
model-1577495273,1577495311.582,0.66,0.2172,0.66,0.2237
model-1577495273,1577495311.707,0.49,0.2689,0.66,0.2202
model-1577495273,1577495311.832,0.68,0.2098,0.68,0.2197
model-1577495273,1577495311.954,0.64,0.226,0.65,0.2209
model-1577495273,1577495312.082,0.68,0.2118,0.65,0.223
model-1577495273,1577495312.209,0.65,0.2118,0.67,0.2256
model-1577495273,1577495312.333,0.61,0.2309,0.66,0.2267
model-1577495273,1577495312.458,0.59,0.238,0.66,0.2256
model-1577495273,1577495312.582,0.58,0.2477,0.69,0.2248
model-1577495273,1577495312.707,0.6,0.2365,0.68,0.225
model-1577495273,1577495312.832,0.72,0.2075,0.69,0.2252
model-1577495273,1577495312.954,0.67,0.207,0.69,0.2258
model-1577495273,1577495313.08,0.6,0.2371,0.7,0.2265
model-1577495273,1577495313.208,0.67,0.2279,0.7,0.2262
model-1577495273,1577495313.331,0.7,0.2236,0.7,0.2249
model-1577495273,1577495313.455,0.73,0.2088,0.7,0.2239
model-1577495273,1577495313.577,0.7,0.2076,0.67,0.2238
model-1577495273,1577495313.704,0.69,0.1995,0.67,0.2255
model-1577495273,1577495313.825,0.64,0.2135,0.67,0.226
model-1577495273,1577495313.958,0.63,0.2193,0.68,0.2256
model-1577495273,1577495314.085,0.69,0.2098,0.67,0.2256
model-1577495273,1577495314.211,0.68,0.1971,0.68,0.2253
model-1577495273,1577495314.334,0.62,0.2254,0.72,0.2275
model-1577495273,1577495314.457,0.69,0.1969,0.66,0.2326
model-1577495273,1577495314.58,0.66,0.204,0.71,0.2267
model-1577495273,1577495314.705,0.58,0.26,0.67,0.225
model-1577495273,1577495314.829,0.65,0.2036,0.67,0.2293
model-1577495273,1577495314.954,0.61,0.2282,0.69,0.2244
model-1577495273,1577495315.08,0.65,0.2082,0.66,0.2182
model-1577495273,1577495315.213,0.74,0.1908,0.66,0.217
model-1577495273,1577495315.338,0.72,0.2052,0.66,0.219
model-1577495273,1577495315.462,0.71,0.2018,0.62,0.2235
model-1577495273,1577495315.584,0.59,0.2351,0.61,0.2253
model-1577495273,1577495315.719,0.62,0.2277,0.62,0.2232
model-1577495273,1577495315.841,0.78,0.1798,0.63,0.2196
model-1577495273,1577495315.964,0.61,0.2131,0.66,0.2114
model-1577495273,1577495316.087,0.65,0.2179,0.68,0.2095
model-1577495273,1577495316.211,0.75,0.1837,0.68,0.2099
model-1577495273,1577495316.352,0.68,0.1956,0.66,0.2148
